,specificity,algorithm,num_trees
0,0.7647058823529411,GA + RF,20
1,0.9333333333333333,GA + RF,20
2,0.8421052631578947,GA + RF,20
3,0.7368421052631579,GA + RF,20
4,0.9333333333333333,GA + RF,20
5,1.0,GA + RF,20
6,0.7647058823529411,GA + RF,20
7,0.9166666666666666,GA + RF,20
8,0.8235294117647058,GA + RF,20
9,0.875,GA + RF,20
10,1.0,GA + RF,20
11,0.8,GA + RF,20
12,0.9375,GA + RF,20
13,0.7647058823529411,GA + RF,20
14,0.7894736842105263,GA + RF,20
15,1.0,GA + RF,20
16,0.7777777777777778,GA + RF,20
17,0.7692307692307693,GA + RF,20
18,0.7692307692307693,GA + RF,20
19,0.8571428571428571,GA + RF,20
20,0.9285714285714286,GA + RF,20
21,1.0,GA + RF,20
22,0.7857142857142857,GA + RF,20
23,1.0,GA + RF,20
24,0.75,GA + RF,20
25,0.8235294117647058,GA + RF,20
26,0.9375,GA + RF,20
27,0.8571428571428571,GA + RF,20
28,0.9375,GA + RF,20
29,0.8571428571428571,GA + RF,20
30,0.9,GA + RF,20
31,0.7058823529411765,GA + RF,20
32,0.8823529411764706,GA + RF,20
33,0.8333333333333334,GA + RF,20
34,0.8461538461538461,GA + RF,20
35,0.9333333333333333,GA + RF,20
36,0.625,GA + RF,20
37,0.8235294117647058,GA + RF,20
38,1.0,GA + RF,20
39,0.7692307692307693,GA + RF,20
40,1.0,GA + RF,20
41,0.8125,GA + RF,20
42,0.9166666666666666,GA + RF,20
43,0.6428571428571429,GA + RF,20
44,0.875,GA + RF,20
45,0.7142857142857143,GA + RF,20
46,0.9333333333333333,GA + RF,20
47,0.75,GA + RF,20
48,0.8,GA + RF,20
49,0.8888888888888888,GA + RF,20
50,0.9375,GA + RF,30
51,0.9285714285714286,GA + RF,30
52,0.85,GA + RF,30
53,0.8125,GA + RF,30
54,1.0,GA + RF,30
55,0.8666666666666667,GA + RF,30
56,0.8823529411764706,GA + RF,30
57,0.9333333333333333,GA + RF,30
58,0.9285714285714286,GA + RF,30
59,0.8823529411764706,GA + RF,30
60,0.8,GA + RF,30
61,0.625,GA + RF,30
62,1.0,GA + RF,30
63,0.7142857142857143,GA + RF,30
64,1.0,GA + RF,30
65,1.0,GA + RF,30
66,0.8571428571428571,GA + RF,30
67,0.8125,GA + RF,30
68,0.9285714285714286,GA + RF,30
69,0.875,GA + RF,30
70,0.6666666666666666,GA + RF,30
71,1.0,GA + RF,30
72,0.875,GA + RF,30
73,0.8461538461538461,GA + RF,30
74,0.8666666666666667,GA + RF,30
75,0.9090909090909091,GA + RF,30
76,0.8421052631578947,GA + RF,30
77,0.8823529411764706,GA + RF,30
78,0.9333333333333333,GA + RF,30
79,0.7777777777777778,GA + RF,30
80,0.6666666666666666,GA + RF,30
81,0.9166666666666666,GA + RF,30
82,0.7857142857142857,GA + RF,30
83,0.8125,GA + RF,30
84,0.75,GA + RF,30
85,0.8823529411764706,GA + RF,30
86,0.9375,GA + RF,30
87,0.9411764705882353,GA + RF,30
88,0.7333333333333333,GA + RF,30
89,0.7777777777777778,GA + RF,30
90,1.0,GA + RF,30
91,0.8421052631578947,GA + RF,30
92,0.9411764705882353,GA + RF,30
93,0.8823529411764706,GA + RF,30
94,0.875,GA + RF,30
95,0.8823529411764706,GA + RF,30
96,0.9411764705882353,GA + RF,30
97,0.9411764705882353,GA + RF,30
98,0.7857142857142857,GA + RF,30
99,0.8235294117647058,GA + RF,30
100,0.9444444444444444,GA + RF,50
101,0.9333333333333333,GA + RF,50
102,1.0,GA + RF,50
103,0.9411764705882353,GA + RF,50
104,0.8571428571428571,GA + RF,50
105,0.9375,GA + RF,50
106,0.8125,GA + RF,50
107,0.9333333333333333,GA + RF,50
108,0.8888888888888888,GA + RF,50
109,0.9230769230769231,GA + RF,50
110,0.875,GA + RF,50
111,1.0,GA + RF,50
112,1.0,GA + RF,50
113,0.8666666666666667,GA + RF,50
114,0.8823529411764706,GA + RF,50
115,1.0,GA + RF,50
116,1.0,GA + RF,50
117,1.0,GA + RF,50
118,0.9333333333333333,GA + RF,50
119,0.8461538461538461,GA + RF,50
120,1.0,GA + RF,50
121,1.0,GA + RF,50
122,0.8947368421052632,GA + RF,50
123,0.9375,GA + RF,50
124,0.8125,GA + RF,50
125,0.8181818181818182,GA + RF,50
126,0.8571428571428571,GA + RF,50
127,1.0,GA + RF,50
128,1.0,GA + RF,50
129,0.9285714285714286,GA + RF,50
130,0.9285714285714286,GA + RF,50
131,0.9444444444444444,GA + RF,50
132,0.8571428571428571,GA + RF,50
133,0.9444444444444444,GA + RF,50
134,0.9285714285714286,GA + RF,50
135,0.9333333333333333,GA + RF,50
136,0.7692307692307693,GA + RF,50
137,0.9230769230769231,GA + RF,50
138,0.8235294117647058,GA + RF,50
139,0.875,GA + RF,50
140,0.9166666666666666,GA + RF,50
141,1.0,GA + RF,50
142,0.7142857142857143,GA + RF,50
143,0.9473684210526315,GA + RF,50
144,1.0,GA + RF,50
145,1.0,GA + RF,50
146,0.8666666666666667,GA + RF,50
147,0.9285714285714286,GA + RF,50
148,0.8823529411764706,GA + RF,50
149,0.8888888888888888,GA + RF,50
150,0.29411764705882354,RF,20
151,0.7333333333333333,RF,20
152,0.6842105263157895,RF,20
153,0.42105263157894735,RF,20
154,0.4666666666666667,RF,20
155,0.9090909090909091,RF,20
156,0.5294117647058824,RF,20
157,0.6666666666666666,RF,20
158,0.47058823529411764,RF,20
159,0.6875,RF,20
160,0.7058823529411765,RF,20
161,0.25,RF,20
162,0.5,RF,20
163,0.29411764705882354,RF,20
164,0.42105263157894735,RF,20
165,0.75,RF,20
166,0.4444444444444444,RF,20
167,0.5384615384615384,RF,20
168,0.38461538461538464,RF,20
169,0.6428571428571429,RF,20
170,0.35714285714285715,RF,20
171,0.6875,RF,20
172,0.7142857142857143,RF,20
173,0.8,RF,20
174,0.75,RF,20
175,0.4117647058823529,RF,20
176,0.5625,RF,20
177,0.5714285714285714,RF,20
178,0.4375,RF,20
179,0.5,RF,20
180,0.3,RF,20
181,0.29411764705882354,RF,20
182,0.6470588235294118,RF,20
183,0.5555555555555556,RF,20
184,0.5384615384615384,RF,20
185,0.4666666666666667,RF,20
186,0.5625,RF,20
187,0.35294117647058826,RF,20
188,0.6153846153846154,RF,20
189,0.6923076923076923,RF,20
190,0.5454545454545454,RF,20
191,0.375,RF,20
192,0.6666666666666666,RF,20
193,0.5,RF,20
194,0.25,RF,20
195,0.5,RF,20
196,0.26666666666666666,RF,20
197,0.5,RF,20
198,0.6666666666666666,RF,20
199,0.6111111111111112,RF,20
200,0.4375,RF,30
201,0.5,RF,30
202,0.3,RF,30
203,0.3125,RF,30
204,0.8,RF,30
205,0.4,RF,30
206,0.4117647058823529,RF,30
207,0.6,RF,30
208,0.5714285714285714,RF,30
209,0.4117647058823529,RF,30
210,0.4666666666666667,RF,30
211,0.0625,RF,30
212,0.46153846153846156,RF,30
213,0.42857142857142855,RF,30
214,0.7142857142857143,RF,30
215,0.7692307692307693,RF,30
216,0.5,RF,30
217,0.4375,RF,30
218,0.5,RF,30
219,0.5,RF,30
220,0.19047619047619047,RF,30
221,0.75,RF,30
222,0.3125,RF,30
223,0.7692307692307693,RF,30
224,0.7333333333333333,RF,30
225,0.6363636363636364,RF,30
226,0.3157894736842105,RF,30
227,0.47058823529411764,RF,30
228,0.6,RF,30
229,0.3333333333333333,RF,30
230,0.2,RF,30
231,0.9166666666666666,RF,30
232,0.6428571428571429,RF,30
233,0.5,RF,30
234,0.25,RF,30
235,0.5882352941176471,RF,30
236,0.625,RF,30
237,0.5294117647058824,RF,30
238,0.3333333333333333,RF,30
239,0.2777777777777778,RF,30
240,0.23076923076923078,RF,30
241,0.5263157894736842,RF,30
242,0.7058823529411765,RF,30
243,0.23529411764705882,RF,30
244,0.75,RF,30
245,0.47058823529411764,RF,30
246,0.5294117647058824,RF,30
247,0.35294117647058826,RF,30
248,0.5,RF,30
249,0.47058823529411764,RF,30
250,0.3333333333333333,RF,50
251,0.6,RF,50
252,0.29411764705882354,RF,50
253,0.4117647058823529,RF,50
254,0.5,RF,50
255,0.4375,RF,50
256,0.3125,RF,50
257,0.6666666666666666,RF,50
258,0.2777777777777778,RF,50
259,0.7692307692307693,RF,50
260,0.375,RF,50
261,0.8571428571428571,RF,50
262,0.5714285714285714,RF,50
263,0.3333333333333333,RF,50
264,0.4117647058823529,RF,50
265,0.6923076923076923,RF,50
266,0.42857142857142855,RF,50
267,0.8333333333333334,RF,50
268,0.4666666666666667,RF,50
269,0.6153846153846154,RF,50
270,0.3333333333333333,RF,50
271,0.5333333333333333,RF,50
272,0.42105263157894735,RF,50
273,0.5,RF,50
274,0.5,RF,50
275,0.9090909090909091,RF,50
276,0.42857142857142855,RF,50
277,0.5384615384615384,RF,50
278,0.9090909090909091,RF,50
279,0.6428571428571429,RF,50
280,0.5,RF,50
281,0.4444444444444444,RF,50
282,0.6428571428571429,RF,50
283,0.6111111111111112,RF,50
284,0.5714285714285714,RF,50
285,0.7333333333333333,RF,50
286,0.6153846153846154,RF,50
287,0.5384615384615384,RF,50
288,0.23529411764705882,RF,50
289,0.5,RF,50
290,0.5833333333333334,RF,50
291,0.8333333333333334,RF,50
292,0.42857142857142855,RF,50
293,0.15789473684210525,RF,50
294,0.6666666666666666,RF,50
295,0.8181818181818182,RF,50
296,0.4666666666666667,RF,50
297,0.6428571428571429,RF,50
298,0.4117647058823529,RF,50
299,0.3888888888888889,RF,50
