,sensitivity,algorithm,num_trees
161,0.8,RF,20
162,0.5,RF,20
163,0.3076923076923077,RF,20
164,0.6363636363636364,RF,20
165,0.16666666666666666,RF,20
166,0.5833333333333334,RF,20
167,0.23529411764705882,RF,20
168,0.4117647058823529,RF,20
169,0.4375,RF,20
170,0.375,RF,20
171,0.42857142857142855,RF,20
172,0.5,RF,20
173,0.25,RF,20
174,0.3333333333333333,RF,20
175,0.38461538461538464,RF,20
176,0.7857142857142857,RF,20
177,0.375,RF,20
178,0.21428571428571427,RF,20
179,0.1875,RF,20
180,0.6,RF,20
181,0.5384615384615384,RF,20
182,0.5384615384615384,RF,20
183,0.5,RF,20
184,0.29411764705882354,RF,20
185,0.5333333333333333,RF,20
186,0.35714285714285715,RF,20
187,0.46153846153846156,RF,20
188,0.5882352941176471,RF,20
189,0.11764705882352941,RF,20
190,0.42105263157894735,RF,20
191,0.35714285714285715,RF,20
192,0.3333333333333333,RF,20
193,0.25,RF,20
194,0.35714285714285715,RF,20
195,0.375,RF,20
196,0.4666666666666667,RF,20
197,0.35714285714285715,RF,20
198,0.5333333333333333,RF,20
199,0.5,RF,20
200,0.5,RF,30
201,0.3125,RF,30
202,0.6,RF,30
203,0.6428571428571429,RF,30
204,0.3,RF,30
205,0.4,RF,30
206,0.6923076923076923,RF,30
207,0.4,RF,30
208,0.5625,RF,30
209,0.46153846153846156,RF,30
210,0.6,RF,30
211,0.5714285714285714,RF,30
212,0.4117647058823529,RF,30
213,0.3125,RF,30
214,0.4375,RF,30
215,0.47058823529411764,RF,30
216,0.375,RF,30
217,0.07142857142857142,RF,30
218,0.625,RF,30
219,0.42857142857142855,RF,30
220,0.7777777777777778,RF,30
221,0.42857142857142855,RF,30
222,0.5714285714285714,RF,30
223,0.29411764705882354,RF,30
224,0.4,RF,30
225,0.3157894736842105,RF,30
226,0.6363636363636364,RF,30
227,0.6923076923076923,RF,30
228,0.4666666666666667,RF,30
229,0.6666666666666666,RF,30
230,0.5333333333333333,RF,30
231,0.2777777777777778,RF,30
232,0.3125,RF,30
233,0.5,RF,30
234,0.4,RF,30
235,0.7692307692307693,RF,30
236,0.35714285714285715,RF,30
237,0.46153846153846156,RF,30
238,0.4666666666666667,RF,30
239,0.5833333333333334,RF,30
240,0.35294117647058826,RF,30
241,0.2727272727272727,RF,30
242,0.5384615384615384,RF,30
243,0.5384615384615384,RF,30
244,0.13636363636363635,RF,30
245,0.5384615384615384,RF,30
246,0.38461538461538464,RF,30
247,0.6153846153846154,RF,30
248,0.5,RF,30
249,0.6153846153846154,RF,30
250,0.6666666666666666,RF,50
251,0.26666666666666666,RF,50
252,0.7692307692307693,RF,50
253,0.23076923076923078,RF,50
254,0.25,RF,50
255,0.5714285714285714,RF,50
256,0.2857142857142857,RF,50
257,0.26666666666666666,RF,50
258,0.5,RF,50
259,0.23529411764705882,RF,50
260,0.21428571428571427,RF,50
261,0.1875,RF,50
262,0.3125,RF,50
263,0.4,RF,50
264,0.15384615384615385,RF,50
265,0.35294117647058826,RF,50
266,0.375,RF,50
267,0.05555555555555555,RF,50
268,0.26666666666666666,RF,50
269,0.35294117647058826,RF,50
270,0.5,RF,50
271,0.4,RF,50
272,0.8181818181818182,RF,50
273,0.5,RF,50
274,0.42857142857142855,RF,50
275,0.2631578947368421,RF,50
276,0.375,RF,50
277,0.29411764705882354,RF,50
278,0.10526315789473684,RF,50
279,0.4375,RF,50
280,0.25,RF,50
281,0.5,RF,50
282,0.375,RF,50
283,0.75,RF,50
284,0.1875,RF,50
285,0.4,RF,50
286,0.29411764705882354,RF,50
287,0.23529411764705882,RF,50
288,0.46153846153846156,RF,50
289,0.5714285714285714,RF,50
290,0.2222222222222222,RF,50
291,0.2222222222222222,RF,50
292,0.375,RF,50
293,0.36363636363636365,RF,50
294,0.13333333333333333,RF,50
295,0.3684210526315789,RF,50
296,0.26666666666666666,RF,50
297,0.5625,RF,50
298,0.6923076923076923,RF,50
299,0.5,RF,50
