,FP_rate,algorithm,num_trees
163,0.7058823529411765,RF,20
164,0.5789473684210527,RF,20
165,0.25,RF,20
166,0.5555555555555556,RF,20
167,0.46153846153846156,RF,20
168,0.6153846153846154,RF,20
169,0.35714285714285715,RF,20
170,0.6428571428571429,RF,20
171,0.3125,RF,20
172,0.2857142857142857,RF,20
173,0.2,RF,20
174,0.25,RF,20
175,0.5882352941176471,RF,20
176,0.4375,RF,20
177,0.42857142857142855,RF,20
178,0.5625,RF,20
179,0.5,RF,20
180,0.7,RF,20
181,0.7058823529411765,RF,20
182,0.35294117647058826,RF,20
183,0.4444444444444444,RF,20
184,0.46153846153846156,RF,20
185,0.5333333333333333,RF,20
186,0.4375,RF,20
187,0.6470588235294118,RF,20
188,0.38461538461538464,RF,20
189,0.3076923076923077,RF,20
190,0.45454545454545453,RF,20
191,0.625,RF,20
192,0.3333333333333333,RF,20
193,0.5,RF,20
194,0.75,RF,20
195,0.5,RF,20
196,0.7333333333333333,RF,20
197,0.5,RF,20
198,0.3333333333333333,RF,20
199,0.3888888888888889,RF,20
200,0.5625,RF,30
201,0.5,RF,30
202,0.7,RF,30
203,0.6875,RF,30
204,0.2,RF,30
205,0.6,RF,30
206,0.5882352941176471,RF,30
207,0.4,RF,30
208,0.42857142857142855,RF,30
209,0.5882352941176471,RF,30
210,0.5333333333333333,RF,30
211,0.9375,RF,30
212,0.5384615384615384,RF,30
213,0.5714285714285714,RF,30
214,0.2857142857142857,RF,30
215,0.23076923076923078,RF,30
216,0.5,RF,30
217,0.5625,RF,30
218,0.5,RF,30
219,0.5,RF,30
220,0.8095238095238095,RF,30
221,0.25,RF,30
222,0.6875,RF,30
223,0.23076923076923078,RF,30
224,0.26666666666666666,RF,30
225,0.36363636363636365,RF,30
226,0.6842105263157895,RF,30
227,0.5294117647058824,RF,30
228,0.4,RF,30
229,0.6666666666666666,RF,30
230,0.8,RF,30
231,0.08333333333333333,RF,30
232,0.35714285714285715,RF,30
233,0.5,RF,30
